model,optional_terms,n_optional_terms,cv_log_loss_mean,cv_log_loss_sd,cv_auc_mean,cv_auc_sd,cv_accuracy_mean,cv_f1_mean,full_data_aic,full_data_bic_deviance,full_data_deviance
main + x1_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x3, x2_x3",4,0.5296741181244703,0.047602758494960234,0.8152428789925313,0.03522426623042313,0.73,0.7202051739518287,324.78673145075584,-1356.7177511488549,308.7867314507558
main + x1_sq + x1_x3 + x2_x3,"x1_sq, x1_x3, x2_x3",3,0.5300313229199574,0.03744740069050674,0.8121178789925313,0.02914506364616013,0.7233333333333334,0.7117630140926086,326.0299937975107,-1359.178271276756,312.0299937975107
main + x1_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,0.530038598386084,0.04518955209542634,0.8170233791514381,0.03486362201081658,0.7366666666666667,0.7254598360307549,325.39999284779833,-1352.4007072771562,307.39999284779833
main + x1_sq + x3_sq + x2_x3,"x1_sq, x3_sq, x2_x3",3,0.5302315150149294,0.04584140169702248,0.816350011918004,0.029598910709045825,0.7266666666666667,0.7213797204876597,324.0248868594912,-1361.1833782147755,310.0248868594912
main + x1_sq + x2_x3,"x1_sq, x2_x3",2,0.5306557979879795,0.03661772755226701,0.812109685364691,0.02273585788802978,0.7266666666666666,0.7165681303314817,324.98978352313895,-1363.922264025784,312.98978352313895
main + x1_sq + x2_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x3, x2_x3",4,0.5308600888081905,0.04195997405036836,0.8105598482440806,0.03347364809106816,0.7200000000000001,0.7053814787753082,327.0465043268017,-1354.4579782728088,311.0465043268017
main + x1_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x1_x2, x1_x3, x2_x3",4,0.5309082746080531,0.03741384805442241,0.8163515016685207,0.028286634479359404,0.7366666666666667,0.7242606516290727,326.56107049197396,-1354.9434121076365,310.56107049197396
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",6,0.5309531091780919,0.04720798642877868,0.8176930220085807,0.035803714222130655,0.7366666666666667,0.7229620661824051,327.06893482228054,-1347.027982828018,307.0689348222805
main + x1_sq + x2_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x2, x1_x3, x2_x3",5,0.5309607707919455,0.040479656749075686,0.8159110320991578,0.03335919564149859,0.7266666666666667,0.7128571428571429,327.84348313242606,-1349.9572169925286,309.84348313242606
main + x1_sq + x2_sq + x2_x3,"x1_sq, x2_sq, x2_x3",3,0.531164031106027,0.039784167876967175,0.8109973383124105,0.02821777869977184,0.7233333333333334,0.7124854509154241,326.0759875523546,-1359.1322775219123,312.0759875523546
main + x1_sq + x2_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x1_x2, x2_x3",4,0.5314164394347163,0.03857335543132954,0.814565042507548,0.028341358500963185,0.7266666666666666,0.7151559934318554,327.20700284654333,-1354.2974797530674,311.20700284654333
main + x1_sq + x2_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x3, x2_x3",5,0.5314334600743722,0.05049103687858744,0.8123470522803113,0.03789165719974727,0.7266666666666667,0.7114036246239637,326.26899261153915,-1351.5317075134153,308.26899261153915
main + x1_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x3_sq, x1_x2, x2_x3",4,0.5315139118903411,0.043936139952950204,0.8132294811695534,0.03216238836267823,0.73,0.7222271781147784,325.1735513515189,-1356.3309312480917,309.1735513515189
main + x1_sq + x2_sq + x3_sq + x2_x3,"x1_sq, x2_sq, x3_sq, x2_x3",4,0.5315920258413142,0.047526936533736915,0.813675909740982,0.03204624599647328,0.7266666666666667,0.7154170493445771,325.52230358423697,-1355.9821790153737,309.52230358423697
main + x1_sq + x1_x2 + x2_x3,"x1_sq, x1_x2, x2_x3",3,0.5316112223511043,0.036169575253860727,0.8136721853646909,0.02540074319351861,0.7266666666666667,0.7153549127054926,325.9374795356716,-1359.2707855385952,311.9374795356716
main + x1_sq + x2_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x2_x3",5,0.5321467108835931,0.045372115681835544,0.8130040322580646,0.031831140610043905,0.73,0.7199283275400659,326.7834516680574,-1351.017248456897,308.7834516680574
main + x3_sq + x1_x2 + x1_x3 + x2_x3,"x3_sq, x1_x2, x1_x3, x2_x3",4,0.5356158171565503,0.04178494219094435,0.8114556848879708,0.04203070482869265,0.7233333333333333,0.6982395382395382,328.62264714702354,-1352.881835452587,312.62264714702354
main + x3_sq + x1_x3 + x2_x3,"x3_sq, x1_x3, x2_x3",3,0.5360375389736124,0.044693497800160874,0.8058790521214048,0.03825488936488681,0.7166666666666666,0.6933090301511354,327.8853487513295,-1357.3229163229373,313.88534875132956
main + x1_x2 + x1_x3 + x2_x3,"x1_x2, x1_x3, x2_x3",3,0.5363192406143401,0.03459131538851035,0.8067778682663278,0.040246964201245426,0.7300000000000001,0.7073733218122493,329.7067283008323,-1355.5015367734345,315.7067283008323
main + x1_x3 + x2_x3,"x1_x3, x2_x3",2,0.5366401630846263,0.036499487948412505,0.8025375417130146,0.03612624394962581,0.7233333333333334,0.7022691525050873,329.05724504976865,-1359.8548024991544,317.05724504976865
