model,log_loss,auc,accuracy,precision,recall,f1,tn,fp,fn,tp,fold
linear,0.6382504160607977,0.7209821428571429,0.6166666666666667,0.5714285714285714,0.7142857142857143,0.6349206349206349,17,15,8,20,1
interactions,0.4877041338945295,0.8627232142857143,0.7833333333333333,0.7777777777777778,0.75,0.7636363636363637,26,6,7,21,1
quadratic,0.6366979432237164,0.7477678571428572,0.5666666666666667,0.5238095238095238,0.7857142857142857,0.6285714285714286,12,20,6,22,1
quadratic_interactions,0.4621260359103053,0.8705357142857142,0.8,0.7857142857142857,0.7857142857142857,0.7857142857142857,26,6,6,22,1
linear,0.6046488743915794,0.7444196428571428,0.6166666666666667,0.6,0.5357142857142857,0.5660377358490566,22,10,13,15,2
interactions,0.5160196590573598,0.8258928571428572,0.75,0.7241379310344828,0.75,0.7368421052631579,24,8,7,21,2
quadratic,0.6023577863157031,0.7332589285714285,0.6666666666666666,0.6333333333333333,0.6785714285714286,0.6551724137931034,21,11,9,19,2
quadratic_interactions,0.5211078753894622,0.8158482142857143,0.75,0.7096774193548387,0.7857142857142857,0.7457627118644068,23,9,6,22,2
linear,0.6308796016078569,0.703125,0.6333333333333333,0.625,0.5357142857142857,0.5769230769230769,23,9,13,15,3
interactions,0.5480400250713741,0.8002232142857143,0.7,0.6785714285714286,0.6785714285714286,0.6785714285714286,23,9,9,19,3
quadratic,0.6157021364094045,0.6975446428571428,0.6666666666666666,0.6428571428571429,0.6428571428571429,0.6428571428571429,22,10,10,18,3
quadratic_interactions,0.5271325364553389,0.8236607142857142,0.7666666666666667,0.75,0.75,0.75,25,7,7,21,3
linear,0.6399054813261432,0.681868743047831,0.6166666666666667,0.6071428571428571,0.5862068965517241,0.5964912280701754,20,11,12,17,4
interactions,0.5758200148609601,0.7552836484983315,0.7166666666666667,0.75,0.6206896551724138,0.6792452830188679,25,6,11,18,4
quadratic,0.6813263652270212,0.6529477196885427,0.6,0.5757575757575758,0.6551724137931034,0.6129032258064516,17,14,10,19,4
quadratic_interactions,0.5904087075410508,0.7708565072302559,0.65,0.6428571428571429,0.6206896551724138,0.631578947368421,21,10,11,18,4
linear,0.6459860998488397,0.6640711902113459,0.55,0.5384615384615384,0.4827586206896552,0.509090909090909,19,12,15,14,5
interactions,0.5540123701874771,0.7897664071190211,0.7,0.7037037037037037,0.6551724137931034,0.6785714285714286,23,8,10,19,5
quadratic,0.6310830487263329,0.6718576195773082,0.6,0.5806451612903226,0.6206896551724138,0.6,18,13,11,18,5
quadratic_interactions,0.5539903905943018,0.8075639599555061,0.7166666666666667,0.7142857142857143,0.6896551724137931,0.7017543859649122,23,8,9,20,5
